kingdom	phylum	class	order	family	name	genus	species	author	taxonID	Assignment	FOSSIL	uniqueness_family	uniqueness_genus	size_m	size_f	size_avg	model_organism	harmful_to_human	human_use	domain	reproductive_habitat	trophic_role	common_name	colorful	color_blu	color_red	mimetism	photo_google	wikipedia	CITES	n_occurrences	range_size_MCP	range_size_AOO	elevation_min	elevation_max	elevation_range	Total_wos	Agriculture	Anatomy & Morphology	Behavioral Sciences	Biochemistry & Molecular Biology	Biodiversity & Conservation	Biotechnology & Applied Microbiology	Cell Biology	Entomology	Environmental Sciences & Ecology	Evolutionary Biology	forestry	Genetics & Heredity	Life Sciences Biomedicine Other Topics	Marine & Freshwater Biology	Microbiology	Mycology	Parasitology	Pharmacology & Pharmacy	Plant Sciences	Zoology	Chemistry	Geology	Oceanography	Physics	Engineering	Instruments & Instrumentation	Microscopy	total_wiki_pgviews	wiki_langs	wiki_mean_month_pgviews	mean_divergence_time_Mya	median_divergence_time_Mya
Animalia	Arthropoda	Insecta	Plecoptera	Perlodidae	Isogenoides hansoni	Isogenoides	hansoni	(Ricker, 1952)	2004296	Tommaso Cancellario		354	8	20	18	19	0	0	0	terrestrial	other wetlands	primary consumer	1	0	0	0	0	1	0	0	21	428524	72	40	1047	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	6	1,45	796,56	736
Animalia	Arthropoda	Insecta	Raphidioptera	Raphidiidae	Dichrostigma hungaricum	Dichrostigma	hungaricum	(Nav†s, 1915)	2007109	Tommaso Cancellario		221	5	NA	NA	NA	0	0	0	terrestrial	NA	secondary consumer	0	0	0	0	0	0	0	0	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4	0,2375	796,56	736
Animalia	Arthropoda	Insecta	Strepsiptera	Xeninae	Xenos kifunei	Xenos	kifunei	Cook & Mathison, 1997	2007458	Tommaso Cancellario		127	44	3,53	7,4	5465	0	0	0	terrestrial	zoo/epiphytic or parasite	parasite	0	0	0	0	0	0	0	0	1	0	0	NA	NA	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	3	0,122222222222222	796,56	736
Animalia	Arthropoda	Insecta	Archaeognatha	Machilidae	Machilis longipalpus	Machilis	longipalpus	Bach, 1982	8919562	Tommaso Cancellario		245	106	NA	NA	NA	0	0	0	terrestrial	subterranean habitats	primary consumer ; decomposer	0	0	0	0	0	0	0	0	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	796,56	736
Animalia	Arthropoda	Insecta	Mantophasmatodea	Mantophasmatidae	Karoophasma biedouwense	Karoophasma	biedouwense	Klass, Picker, Damgaard, van Noort & Tojo, 2003	7204725	Tommaso Cancellario		32	4	15,6	19,4	17,5	0	0	0	terrestrial	subterranean habitats	secondary consumer	0	0	0	0	1	0	0	0	1	0	0	NA	NA	0	6	0	1	1	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	NA	NA	NA	796,56	736
Animalia	Arthropoda	Insecta	Zoraptera	Zorotypidae	Zorotypus huxleyi	Zorotypus	huxleyi	Bolivar y Pieltain & Coronado, 1963	1407011	I§igo Rubio/Alejandro Mart°nez	0	57	56	NA	NA	NA	0	0	0	terrestrial	forest	decomposer	0	0	0	0	0	0	0	0	2	0	8	362	401	39	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	3	0,2	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Bairdiidae	Havanardia sohni	Havanardia	havanensis	Pokorny, 1968		I§igo Rubio/Alejandro Mart°nez	0	813	12	NA	NA	1	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	3	175	12	13	80	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0,266666666666667	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Candonidae	Candona sigmoides	Candona	sigmoides	Sharpe, 1897	1029350	I§igo Rubio/Alejandro Mart°nez	0	580	117	NA	NA	1,3	0	0	0	freshwater	lake	primary consumer	0	0	0	0	0	0	0	0	19	578701	76	219	824	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	0,225	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Cytheruridae	Semicytherura mediterranea	Semicytherura	mediterranea	(Mueller, 1894)	4336488	I§igo Rubio/Alejandro Mart°nez	0	1061	173	NA	NA	0,45	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	29	4019470	116	12	904	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	0,233333333333333	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Loxoconchidae	Loxoconcha abditocostata	Loxoconcha	abditocostata	Hartmann, 1981	6471232	I§igo Rubio/Alejandro Mart°nez	0	542	317	NA	NA	NA	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	3	196461	12	17	243	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	2	0,416666666666667	796,56	736
